experiment,treatment,sim.id,status,reg.of.origin,w,alpha,beta,sigma_E,carry.cap,energy.gradient,max.K,num.of.bins,max.time,max.richness,replicate,disturb_frequency,temperate_disturb_intensity,tropical_disturb_intensity,specn.gradient,specn.factor,gamma
dis,H,6188,completed,tropical,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
dis,H,6189,completed,tropical,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
dis,H,6190,completed,tropical,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
dis,H,6191,completed,tropical,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
dis,H,6192,completed,tropical,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
dis,H,6193,completed,tropical,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
dis,H,6194,completed,tropical,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,10,0,0,0,off,NA,0.1
dis,H,6195,completed,temperate,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,1,0,0,0,off,NA,0.1
dis,H,6196,completed,temperate,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,2,0,0,0,off,NA,0.1
dis,H,6197,completed,temperate,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,3,0,0,0,off,NA,0.1
dis,H,6198,completed,temperate,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,4,0,0,0,off,NA,0.1
dis,H,6199,completed,temperate,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,5,0,0,0,off,NA,0.1
dis,H,6200,completed,temperate,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,6,0,0,0,off,NA,0.1
dis,H,6201,completed,temperate,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,7,0,0,0,off,NA,0.1
dis,H,6202,completed,temperate,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,8,0,0,0,off,NA,0.1
dis,H,6203,completed,temperate,3,1.00E-06,1.00E-02,1,on,on,40000,11,30000,10000,9,0,0,0,off,NA,0.1
