sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,n.regions,clade.origin.time
316,5149,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,488
316,5150,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,658
316,5151,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,656
316,5152,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,578
316,5153,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,613
316,5154,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,613
316,5155,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,649
316,5156,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,649
316,5157,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,500
316,5157,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,500
316,5158,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,500
316,5158,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,500
316,5159,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,500
316,5160,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,500
316,5161,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,500
316,5162,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,500
316,5163,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,500
316,5164,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,744
316,5165,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,638
316,5166,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,638
316,5167,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,638
316,5168,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,713
316,5169,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,723
316,5170,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,654
316,5171,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,671
316,5172,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,671
316,5173,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,695
316,5174,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,615
316,5175,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,615
316,5176,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,615
316,5177,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,685
316,5178,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,685
316,5179,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,714
