sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,gamma.stat,clade.richness,BK.env,BK.reg
3325,3212,30000,0.671075886777901,0.328924113222099,-0.855806218374886,0.144193781625113,0.613770465135354,0.386229534864646,-0.743330814202149,0.25666918579785,-0.800734322097318,0.199265677902681,0.975168905035025,0.0248310949649753,0.877511687729632,0.122488312270368,-0.996139820318639,0.00386017968136054,4,7128,180,180,-4.19668301726193,180,0.632667776682686,0.723905098088969
3325,3213,30000,0.647369938557532,0.352630061442468,-0.85398649245344,0.14601350754656,0.499931937693459,0.500068062306541,-0.302972555349054,0.804041894649318,-0.738987972038636,0.261012027961364,0.887470495585357,0.304921204845516,0.90775009005139,0.09224990994861,-0.992485134835397,0.00751486516460276,4,8470,127,127,-3.9535128103415,127,0.530559503032142,0.706026293384105
3325,3214,30000,0.732332481754244,0.267667518245756,-0.852161235754905,0.147838764245095,0.490811344769078,0.509188655230922,-0.202275509172585,0.870332708332547,-0.756072321543025,0.243927678456974,0.832163374550361,0.374204283578322,0.859343190301956,0.140656809698045,-0.999901625491466,9.83745085335867e-05,4,9585,126,126,-3.95280551828235,126,0.486523624413776,0.613989594663211
3325,3215,30000,0.73243028537681,0.26756971462319,-0.867436160212834,0.132563839787166,0.550873625826497,0.449126374173503,-0.273179936835746,0.823849115536291,-0.773924665873046,0.226075334126954,0.849753985502114,0.353500871470209,0.886605005798828,0.113394994201172,-0.999165612694417,0.000834387305583066,4,10009,123,123,-3.81203211268591,123,0.499440438581655,0.630272085485849
3325,3216,30000,0.164874526166432,0.89455616090681,-0.907841299003204,0.275458676634943,0.821666437117505,0.386089332273982,-0.560199995212721,0.6214485569811,-0.984938524420675,0.110630655639039,0.855914487833305,0.345989880346157,0.983173662139693,0.116950148089978,-0.969163132605933,0.158508528544965,3,10110,101,101,-4.27903024793088,101,0.509349884710404,1.59289363706186
3325,3222,30000,-0.0482813207992295,0.96925120229514,-0.943581937922569,0.214865898924649,0.862301579794554,0.338044503308831,-0.449434941053075,0.703250709624727,-0.981339427022663,0.123178604384182,0.719889608177414,0.488384810700077,0.999677869497562,0.0161593059905334,-0.951682376375663,0.198706592934116,3,10224,95,95,-4.2255013701816,95,0.429591067173669,1.39915272241949
3325,3223,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10381,9,9,0.0048952104409256,9,0.845541302352267,0.432504956012726
3325,3231,30000,0.913184887287667,0.267230466806141,-0.977892936644911,0.134110873943691,0.863113875604394,0.337021918384874,-0.105902584219413,0.932453658005342,-0.949633549315735,0.202911044441183,0.311491686112921,0.798342784061651,0.991879443824325,0.0811862234161591,-0.943357432709439,0.21529709735985,3,10588,86,86,-4.480209649987,86,0.287734741758675,1.09672947500643
3325,3232,30000,0.967651694927422,0.162367317501712,3.52480562728707e-17,1,-0.579238891404797,0.606699687728041,0.234677068209642,0.849193468653346,-0.815157841576796,0.393300312271959,0.972073389028075,0.150806531346654,0.0074286490499425,0.995270731634838,-0.999972407205965,0.00472926836516138,3,12448,13,13,-2.090471207169,13,0.584935684684315,0.680499491007877
3325,3233,30000,0.967651694927422,0.162367317501712,3.52612015256096e-17,1,-0.467767581118819,0.690116858818799,0.103926706162662,0.933718521749693,-0.883851509052425,0.309883141181201,0.994584958536062,0.0662814782503072,0.064307814718088,0.959032103387305,-0.997930110261327,0.0409678966126953,3,14159,12,12,-1.92548278434249,12,0.590956357143202,0.718699542947712
3325,3244,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12143,73,73,-3.89922035589867,73,0.21597242367825,0.79512271785744
3325,3245,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13395,65,65,-4.31909291976286,65,1.02020374807856,1.14236958828488
3325,3246,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13605,57,57,-3.92059965558008,57,0.86326132879327,1.3940046833219
3325,3247,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14237,49,49,-3.75713708304239,49,0.81361029241121,2.09138059598456
3325,3249,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14764,47,47,-3.5596730229194,47,0.807822342699951,2.10964924327595
3325,3250,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15458,12,12,-0.171260634490039,12,1.42672975294064,1.72566176622223
3325,3254,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16991,8,8,0.417757851798377,8,0.600400838208138,3.77414746937174
3325,3261,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15404,35,35,-3.66980147050802,35,0.246203437150694,0.409225571943886
3325,3267,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15686,29,29,-3.31748099132135,29,0.263102666577245,0.423418482640297
3325,3268,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16620,11,11,-2.98121803087398,11,1.02733338852434,NA
3325,3278,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16581,18,18,-1.63360645135001,18,0.127637241346705,0.48255385538412
3325,3279,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,18077,17,17,-1.6896825512441,17,0.14071789947906,0.516615325633153
3325,3280,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21246,8,8,-0.249209335418719,8,0.136956110306466,0.756962992662004
3325,3287,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18769,9,9,-1.65487188577942,9,1.48543458099353,NA
3325,3295,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14202,8,8,-0.715698475351162,8,0.534356525971616,0.808302966155509
3325,3302,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13533,8,8,-1.34161173108884,8,0.766072660170347,0.364420214600298
3325,3309,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17161,8,8,1.18682126683606,8,0.0124244594921129,0.205026936028476
3325,3316,30000,0.900665500807547,0.0993344991924525,-0.197446209806652,0.802553790193348,-0.512742487980439,0.487257512019561,NA,NA,0.424781541094415,0.575218458905585,NA,NA,0.281246623100791,0.718753376899209,-0.965831046814109,0.0341689531858911,4,10044,22,22,0.490571686391541,22,0.148302063892124,0.0690181234312127
3325,3317,30000,0.999428058274598,0.000571941725401537,-0.211539259825424,0.788460740174576,-0.695520901219501,0.304479098780499,NA,NA,0.731538671822882,0.268461328177118,NA,NA,0.254575362417389,0.745424637582611,-0.97435063565152,0.0256493643484802,4,10076,21,21,0.686235206032743,21,0.147258422197082,0.0617748461907409
3325,3318,30000,0.963191606667733,0.173264573314095,-1,0,-0.999015263178192,0.0282547100451312,NA,NA,0.999015263178192,0.0282547100451311,NA,NA,0.863737552355519,0.33623487361491,-0.863737552355519,0.33623487361491,3,10802,9,9,0.439391540006714,9,0.534243711388142,0.354274475540818
3325,3326,30000,0.998373987780245,0.036309133786117,3.52480562728707e-17,1,NA,NA,NA,NA,-3.52650746804345e-17,1,NA,NA,0.00398894767739597,0.997460550303104,-0.999992044116566,0.00253944969689188,3,12108,12,12,1.22382437384247,12,0.0248998592241606,0.0113069215932546
3325,3339,30000,0.701047900805255,0.298952099194745,-0.842887130994613,0.157112869005387,0.667179633550943,0.332820366449057,-0.448161045342269,0.704158226584675,-0.75494982339096,0.24505017660904,0.988800811058068,0.0953662166163991,0.795393492375839,0.204606507624161,-0.995876290106461,0.00412370989353862,4,7300,53,53,-1.28836801797439,53,1.70679433477053,0.839213198352262
3325,3343,30000,0.600398283717045,0.399601716282955,-0.857765634428942,0.142234365571058,0.822674090450683,0.177325909549316,-0.00196732755029594,0.998747559574854,-0.81283150263734,0.187168497362659,0.746126269928611,0.463823017760042,0.788624128380784,0.211375871619216,-0.992507496428948,0.00749250357105204,4,9026,49,49,-1.82613482088325,49,1.58256060385029,0.858729100651885
3325,3346,30000,0.519254701951051,0.480745298048949,-0.84895098881086,0.15104901118914,0.916974419099835,0.0830255809001654,0.981375324452761,0.123059697061614,-0.902944692174021,0.0970553078259788,-0.547244883400065,0.631353277726488,0.690924574442578,0.309075425557422,-0.968292563652906,0.0317074363470943,4,9986,46,46,-1.87572902202632,46,1.21064455964339,0.671675991092925
