"sim.id","model","name","LH","aicc","delta.aicc","w","tau0","gamma","lamb0","mu0","alpha","beta","eps"
"5540-30000","4a","Birth-death varying speciation constant extinction (coalescent approx)",7446.45808045878,-14886.9072290232,0,1,NA,NA,0.0682842875188759,0.0682842864339059,0.00692228741748441,NA,NA
"5540-30000","4b","Birth-death constant speciation varying extinction (coalescent approx)",7424.06286644878,-14842.1168010033,44.7904280199946,0,NA,NA,0.0732251788855676,0.0732251738760534,NA,-0.0130972377249064,NA
"5540-30000","4c","Birth-death constant extinction fraction (coalescent approx)",7311.54254968321,-14617.0761674721,269.831061551131,0,NA,NA,0.0605857572165381,NA,0.0138454812909646,NA,0.879200944051134
"5540-30000","4d","Birth-death varying speciation and extinction (coalescent approx)",7297.21215045384,-14586.4094088749,300.49782014833,0,NA,NA,0.0485588704938629,0.0485588652511905,0.0274619474513162,0.0264868623974569,NA
"5540-30000","5","Pure birth constant speciation (coalescent approx)",7076.86943059237,-14151.7373736429,735.169855380344,0,NA,NA,0.03671484375,NA,NA,NA,NA
"5540-30000","6","Pure birth varying speciation (coalescent approx)",7118.55839366245,-14233.1123230392,653.794905984065,0,NA,NA,0.0447492485058111,NA,-0.00638316582200575,NA,NA
"5541","1","Equilibrium constant rate",9710.93200025642,-19419.8625063029,186.503904704303,0,0.27969,NA,NA,NA,NA,NA,NA
"5541","2","Equilibrium variable rate",9742.37381205423,-19480.7431398035,125.623271203673,0,0.253062581098925,0.00871628509949806,NA,NA,NA,NA,NA
"5541","3","Birth-death constant rates (coalescent approx)",9742.37388405899,-19480.7432838131,125.623127194147,0,NA,NA,0.253122748165967,0.244411966034581,NA,NA,NA
"5541","4a","Birth-death varying speciation constant extinction (coalescent approx)",9247.90894442416,-18489.8089168857,1116.5574941215,0,NA,NA,0.13678422369899,6.06324234627499e-08,-0.0385400443515008,NA,NA
"5541","4b","Birth-death constant speciation varying extinction (coalescent approx)",9806.18769148491,-19606.3664110072,0,1,NA,NA,0.255745820794718,0.255745819406252,NA,-0.00151318825383525,NA
"5541","4c","Birth-death constant extinction fraction (coalescent approx)",9747.54216344665,-19489.0753549307,117.291056076505,0,NA,NA,0.250040693523585,NA,0.00512829448444648,NA,0.983766631948983
"5541","4d","Birth-death varying speciation and extinction (coalescent approx)",9629.40462805583,-19250.7942972485,355.572113758659,0,NA,NA,0.223766476304256,0.223766436249893,-0.030352007437746,-0.0596527610573074,NA
"5541","5","Pure birth constant speciation (coalescent approx)",7995.0495472994,-15988.0976003889,3618.26881061833,0,NA,NA,0.04915234375,NA,NA,NA,NA
"5541","6","Pure birth varying speciation (coalescent approx)",9247.9095108743,-18491.8145374437,1114.55187356353,0,NA,NA,0.136866078355811,NA,-0.0385697288341053,NA,NA
